Image burst: T+11.4s → T+151.5s  (30574 writes, 567KB approx)

T+     0.7s [W→cam] <REDACTED_ID>
T+     0.7s [W←cam] <REDACTED_ID>
T+     0.7s [W→cam] <REDACTED_ID>
T+     0.8s [W←cam] 000101000000000000000400004b0002
T+     0.8s [W→cam] 4b00
T+     0.8s [W←cam] 4b00d6b77b1b
T+     0.9s [W→cam] 4b01
T+     0.9s [W←cam] 4b01000344
T+     0.9s [W→cam] 4b02
T+     1.0s [W←cam] 4b02010202
T+     1.0s [W→cam] 4b03
T+     1.1s [W←cam] 4b03b5115b083796c8d0
T+     1.1s [W→cam] 4b04
T+     1.1s [W←cam] 4b047213486b0bd5ab54f385605a0a064ca1
T+     1.1s [W→cam] 4b050200
T+     1.2s [W←cam] 4b0502000002
T+     1.2s [W→cam] <REDACTED_ID>
T+     1.2s [W→cam] <REDACTED_ID>
T+     1.3s [W←cam] 000101000000000000001600004e0001
T+     1.3s [W←cam] <REDACTED_ID>
T+     1.3s [W→cam] 4e0119000000
T+     1.4s [W←cam] f00000023204a0139729b5113796c8d05b08a00f0e66656e69782038202d2035
T+     1.4s [W→cam] f040
T+     1.4s [W←cam] 4e0200
T+     1.8s [W→cam] f040000239058813a013029631fffffffffffff42affff1146656c6978277320
T+     1.9s [W←cam] f04100021713328110fbff3f22fede5e4efa7db6df37020903f1d200
T+     1.9s [W→cam] f081000209010481ba13039de900
T+     1.9s [W←cam] f080
T+     3.0s [W→cam] f08200021813328011f9ffdffffffffeccdfa50a172b020b0402b0c700
T+     3.0s [W←cam] f0c2000209010480ba13039c1500
T+     3.1s [W→cam] f0c0
T+     3.4s [W→cam] f0c30002a8032b8101010101010294010102940101896a9101428e010a246633
T+     3.5s [W←cam] f103000211010481b31301010101010101010386ad00
T+     3.5s [W←cam] f10400023a032c8201010101010226010102260101106a244a22080110015201
T+     3.5s [W→cam] f144000211010482b41301010101010101010398dd00
T+     3.5s [W←cam] f140
T+     3.8s [W→cam] f14500021d042b82010101010102090101020901010cf201060a040a02081388
T+     3.8s [W←cam] f185000211010482b313020101010101010103436500
T+     3.8s [W→cam] f180
T+     3.8s [W←cam] f186000221042c830101010101020d0101020d010109f2010a12080a06080712
T+     3.9s [W→cam] f1c6000211010483b413020101010101010103a4d200
T+     3.9s [W←cam] f1c0
T+     3.9s [W→cam] f1c7000206051f83491900
T+     4.0s [W→cam] <REDACTED_ID>
T+     4.0s [W←cam] f2070002f1010483a713eb1080040a4649545f545950455f3480200b4649545f
T+     4.0s [W←cam] f208804a0b4649545f545950455f3734ff3000
T+     4.0s [W→cam] f208000208041e8410034a8900
T+     4.0s [W→cam] f240
T+     4.1s [W←cam] <REDACTED_ID>
T+     4.1s [W→cam] 80000006800501088c00
T+     4.1s [W←cam] f24900020a010484a6130103a32c00
T+     4.1s [W←cam] f24a00020a09348421731c43c6c300
T+     4.1s [W→cam] f28900021b042b850201010101020701010207010107ba02040a021a03899c00
T+     4.1s [W→cam] f2c0
T+     4.1s [W←cam] f28b000211010485b313020201010101010103f6bb00
T+     4.1s [W→cam] f30a00021d010484bc130b21731c436b176c44201c010b900f0b4690084045d2
T+     4.2s [W←cam] 80400006800501088c00
T+     4.2s [W←cam] f28c00021d042c850201010101020901010209010109ba02060a0422020803be
T+     4.2s [W→cam] <REDACTED_ID>
T+     4.2s [W→cam] f340
T+     4.2s [W←cam] f2c0
T+     4.2s [W→cam] f34b000211010485b413020201010101010103eccf00
T+     4.2s [W←cam] <REDACTED_ID>
T+     4.2s [W→cam] 8080
T+     4.3s [W→cam] <REDACTED_ID>
T+     4.3s [W←cam] f300
T+     4.3s [W→cam] f34c0002100c1a8603060101070101080103c80700
T+     4.3s [W←cam] 80c20007821711010c0501030102010101010101010101028f00
T+     4.3s [W→cam] 80c300078320020101a100
T+     4.3s [W←cam] f34d00020a010486a21304011a1c00
T+     4.3s [W→cam] f38d00022d040b87400201037f0b0201030101030201030801030901030a0103
T+     4.4s [W←cam] 8103000683200101a300
